"il","neden","gelen_sayi","giden_sayi","net_goc"
"Artvin","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1394,1966,-572
"Artvin","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",426,229,197
"Artvin","Sağlık / bakım Health / care",52,113,-61
"Artvin","Ev alınması Buying a house",141,409,-268
"Artvin","Emeklilik Retirement",75,64,11
"Artvin","Diğer Other",163,112,51
"Artvin","Bilinmeyen Unknown",465,643,-178
"Aydın","Tayin / iş değişikliği Assignation / change of job",3927,2971,956
"Aydın","İşe başlamak / iş bulmak Starting / finding a job",3053,3561,-508
"Aydın","Eğitim Education",7917,7044,873
"Aydın","Daha iyi konut ve yaşam koşulları Better housing and living conditions",8299,6590,1709
"Aydın","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",8382,6408,1974
"Aydın","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",661,1951,-1290
"Aydın","Sağlık / bakım Health / care",242,273,-31
"Aydın","Ev alınması Buying a house",2568,879,1689
"Aydın","Emeklilik Retirement",385,177,208
"Aydın","Diğer Other",578,585,-7
"Aydın","Bilinmeyen Unknown",2902,3353,-451
"Balıkesir","Tayin / iş değişikliği Assignation / change of job",5102,4620,482
"Balıkesir","İşe başlamak / iş bulmak Starting / finding a job",3332,3508,-176
"Balıkesir","Eğitim Education",7334,7675,-341
"Balıkesir","Daha iyi konut ve yaşam koşulları Better housing and living conditions",8189,7316,873
"Balıkesir","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",10559,7744,2815
"Balıkesir","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1086,1429,-343
"Balıkesir","Sağlık / bakım Health / care",408,358,50
"Balıkesir","Ev alınması Buying a house",2355,1156,1199
"Balıkesir","Emeklilik Retirement",510,263,247
"Balıkesir","Diğer Other",590,530,60
"Balıkesir","Bilinmeyen Unknown",3098,3675,-577
"Bilecik","Tayin / iş değişikliği Assignation / change of job",802,981,-179
"Bilecik","İşe başlamak / iş bulmak Starting / finding a job",1206,1036,170
"Bilecik","Eğitim Education",2857,1929,928
"Bilecik","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1274,1820,-546
"Bilecik","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2178,1904,274
"Bilecik","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",148,334,-186
"Bilecik","Sağlık / bakım Health / care",86,65,21
"Bilecik","Ev alınması Buying a house",222,313,-91
"Bilecik","Emeklilik Retirement",36,58,-22
"Bilecik","Diğer Other",153,113,40
"Bilecik","Bilinmeyen Unknown",539,991,-452
"Bingöl","Tayin / iş değişikliği Assignation / change of job",1421,1916,-495
"Bingöl","İşe başlamak / iş bulmak Starting / finding a job",493,1046,-553
"Bingöl","Eğitim Education",2392,2404,-12
"Bingöl","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1062,2260,-1198
"Bingöl","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2641,3536,-895
"Bingöl","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",409,585,-176
"Bingöl","Sağlık / bakım Health / care",50,58,-8
"Bingöl","Ev alınması Buying a house",250,384,-134
"Bingöl","Emeklilik Retirement",33,58,-25
"Bingöl","Diğer Other",201,219,-18
"Bingöl","Bilinmeyen Unknown",595,750,-155
"Bitlis","Tayin / iş değişikliği Assignation / change of job",1708,2422,-714
"Bitlis","İşe başlamak / iş bulmak Starting / finding a job",993,1456,-463
"Bitlis","Eğitim Education",2408,2638,-230
"Bitlis","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2103,3259,-1156
"Bitlis","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4149,5220,-1071
"Bitlis","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",281,476,-195
"Bitlis","Sağlık / bakım Health / care",20,63,-43
"Bitlis","Ev alınması Buying a house",282,469,-187
"Bitlis","Emeklilik Retirement",28,59,-31
"Bitlis","Diğer Other",211,301,-90
"Bitlis","Bilinmeyen Unknown",706,733,-27
"Bolu","Tayin / iş değişikliği Assignation / change of job",1296,1291,5
"Bolu","İşe başlamak / iş bulmak Starting / finding a job",891,1668,-777
