"il","neden","gelen_sayi","giden_sayi","net_goc"
"Kayseri","Sağlık / bakım Health / care",159,199,-40
"Kayseri","Ev alınması Buying a house",1762,791,971
"Kayseri","Emeklilik Retirement",234,187,47
"Kayseri","Diğer Other",410,721,-311
"Kayseri","Bilinmeyen Unknown",2704,2364,340
"Kırklareli","Tayin / iş değişikliği Assignation / change of job",1674,1562,112
"Kırklareli","İşe başlamak / iş bulmak Starting / finding a job",1284,1525,-241
"Kırklareli","Eğitim Education",3340,2253,1087
"Kırklareli","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2022,2431,-409
"Kırklareli","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3805,3082,723
"Kırklareli","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",451,520,-69
"Kırklareli","Sağlık / bakım Health / care",151,88,63
"Kırklareli","Ev alınması Buying a house",625,510,115
"Kırklareli","Emeklilik Retirement",125,88,37
"Kırklareli","Diğer Other",222,146,76
"Kırklareli","Bilinmeyen Unknown",785,1222,-437
"Kırşehir","Tayin / iş değişikliği Assignation / change of job",1165,1274,-109
"Kırşehir","İşe başlamak / iş bulmak Starting / finding a job",790,1243,-453
"Kırşehir","Eğitim Education",3268,2649,619
"Kırşehir","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1931,2062,-131
"Kırşehir","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2143,2107,36
"Kırşehir","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",257,577,-320
"Kırşehir","Sağlık / bakım Health / care",154,136,18
"Kırşehir","Ev alınması Buying a house",339,581,-242
"Kırşehir","Emeklilik Retirement",62,50,12
"Kırşehir","Diğer Other",221,174,47
"Kırşehir","Bilinmeyen Unknown",582,1121,-539
"Kocaeli","Tayin / iş değişikliği Assignation / change of job",8004,6288,1716
"Kocaeli","İşe başlamak / iş bulmak Starting / finding a job",7434,4219,3215
"Kocaeli","Eğitim Education",8839,11974,-3135
"Kocaeli","Daha iyi konut ve yaşam koşulları Better housing and living conditions",20417,13250,7167
"Kocaeli","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",18337,13217,5120
"Kocaeli","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",322,2664,-2342
"Kocaeli","Sağlık / bakım Health / care",515,354,161
"Kocaeli","Ev alınması Buying a house",3853,1811,2042
"Kocaeli","Emeklilik Retirement",469,464,5
"Kocaeli","Diğer Other",1096,1688,-592
"Kocaeli","Bilinmeyen Unknown",5048,3874,1174
"Konya","Tayin / iş değişikliği Assignation / change of job",5916,5241,675
"Konya","İşe başlamak / iş bulmak Starting / finding a job",4690,5704,-1014
"Konya","Eğitim Education",13786,13469,317
"Konya","Daha iyi konut ve yaşam koşulları Better housing and living conditions",7287,8429,-1142
"Konya","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",11797,10004,1793
"Konya","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1252,3239,-1987
"Konya","Sağlık / bakım Health / care",581,244,337
"Konya","Ev alınması Buying a house",1128,1366,-238
"Konya","Emeklilik Retirement",255,227,28
"Konya","Diğer Other",673,837,-164
"Konya","Bilinmeyen Unknown",3506,4409,-903
"Kütahya","Tayin / iş değişikliği Assignation / change of job",1745,1961,-216
"Kütahya","İşe başlamak / iş bulmak Starting / finding a job",1122,2489,-1367
"Kütahya","Eğitim Education",7085,4965,2120
"Kütahya","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2404,2779,-375
"Kütahya","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2610,3137,-527
"Kütahya","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",815,475,340
"Kütahya","Sağlık / bakım Health / care",89,120,-31
"Kütahya","Ev alınması Buying a house",368,519,-151
"Kütahya","Emeklilik Retirement",113,79,34
"Kütahya","Diğer Other",196,233,-37
"Kütahya","Bilinmeyen Unknown",1096,2722,-1626
"Malatya","Tayin / iş değişikliği Assignation / change of job",2397,3123,-726
"Malatya","İşe başlamak / iş bulmak Starting / finding a job",1141,2608,-1467
"Malatya","Eğitim Education",7075,5767,1308
"Malatya","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2905,7013,-4108
"Malatya","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3937,6780,-2843
"Malatya","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",15845,1569,14276
"Malatya","Sağlık / bakım Health / care",140,186,-46
"Malatya","Ev alınması Buying a house",274,955,-681
"Malatya","Emeklilik Retirement",80,151,-71
"Malatya","Diğer Other",860,558,302
"Malatya","Bilinmeyen Unknown",1311,1671,-360
"Manisa","Tayin / iş değişikliği Assignation / change of job",4105,3544,561
"Manisa","İşe başlamak / iş bulmak Starting / finding a job",3342,3272,70
"Manisa","Eğitim Education",6650,8798,-2148
"Manisa","Daha iyi konut ve yaşam koşulları Better housing and living conditions",6269,6420,-151
"Manisa","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",8541,7249,1292
"Manisa","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",848,1597,-749
"Manisa","Sağlık / bakım Health / care",286,255,31
"Manisa","Ev alınması Buying a house",1138,946,192
"Manisa","Emeklilik Retirement",201,191,10
"Manisa","Diğer Other",553,602,-49
"Manisa","Bilinmeyen Unknown",2954,2141,813
"Kahramanmaraş","Tayin / iş değişikliği Assignation / change of job",2733,3024,-291
"Kahramanmaraş","İşe başlamak / iş bulmak Starting / finding a job",1811,2197,-386
"Kahramanmaraş","Eğitim Education",7250,8067,-817
"Kahramanmaraş","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3149,5553,-2404
"Kahramanmaraş","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5194,5968,-774
"Kahramanmaraş","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",12838,1245,11593
"Kahramanmaraş","Sağlık / bakım Health / care",406,165,241
"Kahramanmaraş","Ev alınması Buying a house",393,604,-211
"Kahramanmaraş","Emeklilik Retirement",107,93,14
"Kahramanmaraş","Diğer Other",391,641,-250
"Kahramanmaraş","Bilinmeyen Unknown",2112,1095,1017
"Mardin","Tayin / iş değişikliği Assignation / change of job",2842,3683,-841
"Mardin","İşe başlamak / iş bulmak Starting / finding a job",1692,2610,-918
"Mardin","Eğitim Education",3571,5620,-2049
"Mardin","Daha iyi konut ve yaşam koşulları Better housing and living conditions",4769,5670,-901
"Mardin","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",7312,8317,-1005
"Mardin","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1571,1201,370
"Mardin","Sağlık / bakım Health / care",176,85,91
"Mardin","Ev alınması Buying a house",683,761,-78
"Mardin","Emeklilik Retirement",50,95,-45
"Mardin","Diğer Other",457,577,-120
"Mardin","Bilinmeyen Unknown",1654,1183,471
"Muğla","Tayin / iş değişikliği Assignation / change of job",5266,3415,1851
"Muğla","İşe başlamak / iş bulmak Starting / finding a job",4147,2941,1206
"Muğla","Eğitim Education",6022,5886,136
"Muğla","Daha iyi konut ve yaşam koşulları Better housing and living conditions",12990,7934,5056
"Muğla","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",10373,6945,3428
"Muğla","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",255,2403,-2148
"Muğla","Sağlık / bakım Health / care",213,303,-90
"Muğla","Ev alınması Buying a house",2100,1301,799
"Muğla","Emeklilik Retirement",440,274,166
"Muğla","Diğer Other",960,537,423
"Muğla","Bilinmeyen Unknown",3665,2784,881
"Muş","Tayin / iş değişikliği Assignation / change of job",1193,2511,-1318
"Muş","İşe başlamak / iş bulmak Starting / finding a job",625,1974,-1349
"Muş","Eğitim Education",2231,2677,-446
"Muş","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2930,4363,-1433
"Muş","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2683,7232,-4549
"Muş","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",536,481,55
"Muş","Sağlık / bakım Health / care",12,92,-80
"Muş","Ev alınması Buying a house",186,830,-644
"Muş","Emeklilik Retirement",15,61,-46
"Muş","Diğer Other",348,438,-90
"Muş","Bilinmeyen Unknown",673,812,-139
"Nevşehir","Tayin / iş değişikliği Assignation / change of job",1223,1154,69
"Nevşehir","İşe başlamak / iş bulmak Starting / finding a job",1178,1167,11
"Nevşehir","Eğitim Education",5359,2985,2374
"Nevşehir","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1493,2062,-569
"Nevşehir","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2631,2328,303
"Nevşehir","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",458,660,-202
"Nevşehir","Sağlık / bakım Health / care",98,101,-3
"Nevşehir","Ev alınması Buying a house",368,510,-142
"Nevşehir","Emeklilik Retirement",77,58,19
"Nevşehir","Diğer Other",190,161,29
"Nevşehir","Bilinmeyen Unknown",648,1268,-620
"Niğde","Tayin / iş değişikliği Assignation / change of job",1238,1375,-137
"Niğde","İşe başlamak / iş bulmak Starting / finding a job",760,1727,-967
"Niğde","Eğitim Education",3775,3287,488
"Niğde","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2363,3958,-1595
"Niğde","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3015,3872,-857
"Niğde","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",236,957,-721
"Niğde","Sağlık / bakım Health / care",53,106,-53
"Niğde","Ev alınması Buying a house",436,976,-540
"Niğde","Emeklilik Retirement",64,84,-20
"Niğde","Diğer Other",260,190,70
"Niğde","Bilinmeyen Unknown",590,1158,-568
"Ordu","Tayin / iş değişikliği Assignation / change of job",2528,2726,-198
"Ordu","İşe başlamak / iş bulmak Starting / finding a job",1614,2576,-962
"Ordu","Eğitim Education",4077,5795,-1718
"Ordu","Daha iyi konut ve yaşam koşulları Better housing and living conditions",4094,7090,-2996
"Ordu","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",6163,6200,-37
"Ordu","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1229,677,552
"Ordu","Sağlık / bakım Health / care",77,257,-180
"Ordu","Ev alınması Buying a house",936,1158,-222
"Ordu","Emeklilik Retirement",236,201,35
"Ordu","Diğer Other",360,441,-81
"Ordu","Bilinmeyen Unknown",1929,1259,670
"Rize","Tayin / iş değişikliği Assignation / change of job",1155,1435,-280
"Rize","İşe başlamak / iş bulmak Starting / finding a job",713,1506,-793
"Rize","Eğitim Education",3308,3116,192
"Rize","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2655,4324,-1669
"Rize","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2617,3507,-890
"Rize","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",710,552,158
"Rize","Sağlık / bakım Health / care",96,105,-9
"Rize","Ev alınması Buying a house",362,838,-476
"Rize","Emeklilik Retirement",91,125,-34
"Rize","Diğer Other",241,208,33
"Rize","Bilinmeyen Unknown",927,1145,-218
"Sakarya","Tayin / iş değişikliği Assignation / change of job",3562,2700,862
"Sakarya","İşe başlamak / iş bulmak Starting / finding a job",2635,2814,-179
"Sakarya","Eğitim Education",7429,6668,761
"Sakarya","Daha iyi konut ve yaşam koşulları Better housing and living conditions",7902,5645,2257
"Sakarya","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",8322,5391,2931
"Sakarya","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",107,890,-783
"Sakarya","Sağlık / bakım Health / care",133,180,-47
"Sakarya","Ev alınması Buying a house",1905,770,1135
"Sakarya","Emeklilik Retirement",283,147,136
"Sakarya","Diğer Other",476,459,17
"Sakarya","Bilinmeyen Unknown",2428,3072,-644
"Samsun","Tayin / iş değişikliği Assignation / change of job",4815,4417,398
"Samsun","İşe başlamak / iş bulmak Starting / finding a job",3742,4040,-298
"Samsun","Eğitim Education",9523,9860,-337
"Samsun","Daha iyi konut ve yaşam koşulları Better housing and living conditions",9431,7518,1913
"Samsun","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",9399,8209,1190
"Samsun","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1280,1586,-306
"Samsun","Sağlık / bakım Health / care",330,284,46
"Samsun","Ev alınması Buying a house",1845,1305,540
"Samsun","Emeklilik Retirement",394,156,238
"Samsun","Diğer Other",618,650,-32
"Samsun","Bilinmeyen Unknown",3405,2862,543
"Siirt","Tayin / iş değişikliği Assignation / change of job",1209,4352,-3143
"Siirt","İşe başlamak / iş bulmak Starting / finding a job",594,1822,-1228
"Siirt","Eğitim Education",2211,2588,-377
"Siirt","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1468,3287,-1819
"Siirt","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3129,6324,-3195
"Siirt","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",72,543,-471
"Siirt","Sağlık / bakım Health / care",30,68,-38
"Siirt","Ev alınması Buying a house",191,619,-428
"Siirt","Emeklilik Retirement",19,81,-62
"Siirt","Diğer Other",122,310,-188
"Siirt","Bilinmeyen Unknown",506,684,-178
"Sinop","Tayin / iş değişikliği Assignation / change of job",899,1159,-260
"Sinop","İşe başlamak / iş bulmak Starting / finding a job",538,1363,-825
"Sinop","Eğitim Education",2907,2274,633
"Sinop","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2338,2959,-621
"Sinop","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2041,2687,-646
"Sinop","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",295,291,4
"Sinop","Sağlık / bakım Health / care",151,131,20
"Sinop","Ev alınması Buying a house",354,559,-205
"Sinop","Emeklilik Retirement",163,67,96
"Sinop","Diğer Other",219,211,8
"Sinop","Bilinmeyen Unknown",526,844,-318
"Sivas","Tayin / iş değişikliği Assignation / change of job",2374,3604,-1230
"Sivas","İşe başlamak / iş bulmak Starting / finding a job",1312,3039,-1727
"Sivas","Eğitim Education",5957,4685,1272
"Sivas","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3573,8854,-5281
"Sivas","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4254,7529,-3275
"Sivas","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",989,1468,-479
"Sivas","Sağlık / bakım Health / care",99,250,-151
"Sivas","Ev alınması Buying a house",655,1757,-1102
"Sivas","Emeklilik Retirement",138,228,-90
"Sivas","Diğer Other",434,421,13
"Sivas","Bilinmeyen Unknown",1066,2134,-1068
"Tekirdağ","Tayin / iş değişikliği Assignation / change of job",5605,3917,1688
"Tekirdağ","İşe başlamak / iş bulmak Starting / finding a job",5885,2947,2938
"Tekirdağ","Eğitim Education",3825,6347,-2522
"Tekirdağ","Daha iyi konut ve yaşam koşulları Better housing and living conditions",8490,8037,453
"Tekirdağ","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",17766,8732,9034
"Tekirdağ","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",594,1703,-1109
"Tekirdağ","Sağlık / bakım Health / care",440,272,168
"Tekirdağ","Ev alınması Buying a house",3311,1069,2242
"Tekirdağ","Emeklilik Retirement",349,285,64
"Tekirdağ","Diğer Other",747,696,51
"Tekirdağ","Bilinmeyen Unknown",2986,1967,1019
"Tokat","Tayin / iş değişikliği Assignation / change of job",2482,2791,-309
"Tokat","İşe başlamak / iş bulmak Starting / finding a job",1163,3218,-2055
"Tokat","Eğitim Education",5014,4880,134
"Tokat","Daha iyi konut ve yaşam koşulları Better housing and living conditions",6015,7884,-1869
"Tokat","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",10473,7439,3034
"Tokat","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1193,701,492
"Tokat","Sağlık / bakım Health / care",150,185,-35
"Tokat","Ev alınması Buying a house",1356,1725,-369
"Tokat","Emeklilik Retirement",427,207,220
"Tokat","Diğer Other",7956,289,7667
"Tokat","Bilinmeyen Unknown",1416,1555,-139
"Trabzon","Tayin / iş değişikliği Assignation / change of job",2447,2890,-443
"Trabzon","İşe başlamak / iş bulmak Starting / finding a job",1552,2759,-1207
"Trabzon","Eğitim Education",7131,5882,1249
"Trabzon","Daha iyi konut ve yaşam koşulları Better housing and living conditions",4840,5946,-1106
"Trabzon","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5258,5548,-290
"Trabzon","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",876,959,-83
"Trabzon","Sağlık / bakım Health / care",166,179,-13
"Trabzon","Ev alınması Buying a house",920,1096,-176
"Trabzon","Emeklilik Retirement",208,174,34
"Trabzon","Diğer Other",504,510,-6
"Trabzon","Bilinmeyen Unknown",1881,2494,-613
"Tunceli","Tayin / iş değişikliği Assignation / change of job",1366,1614,-248
"Tunceli","İşe başlamak / iş bulmak Starting / finding a job",194,642,-448
"Tunceli","Eğitim Education",1593,1077,516
"Tunceli","Daha iyi konut ve yaşam koşulları Better housing and living conditions",553,1588,-1035
"Tunceli","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1390,2293,-903
"Tunceli","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",491,342,149
"Tunceli","Sağlık / bakım Health / care",486,62,424
"Tunceli","Ev alınması Buying a house",104,402,-298
"Tunceli","Emeklilik Retirement",24,48,-24
"Tunceli","Diğer Other",94,106,-12
"Tunceli","Bilinmeyen Unknown",199,485,-286
"Şanlıurfa","Tayin / iş değişikliği Assignation / change of job",3852,6681,-2829
"Şanlıurfa","İşe başlamak / iş bulmak Starting / finding a job",2621,4075,-1454
"Şanlıurfa","Eğitim Education",4919,9943,-5024
"Şanlıurfa","Daha iyi konut ve yaşam koşulları Better housing and living conditions",7985,11804,-3819
"Şanlıurfa","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",12046,16120,-4074
"Şanlıurfa","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",3084,4048,-964
"Şanlıurfa","Sağlık / bakım Health / care",66,145,-79
"Şanlıurfa","Ev alınması Buying a house",1046,1581,-535
"Şanlıurfa","Emeklilik Retirement",57,119,-62
"Şanlıurfa","Diğer Other",627,1185,-558
"Şanlıurfa","Bilinmeyen Unknown",3526,1590,1936
"Uşak","Tayin / iş değişikliği Assignation / change of job",959,1061,-102
"Uşak","İşe başlamak / iş bulmak Starting / finding a job",698,1329,-631
"Uşak","Eğitim Education",3300,3027,273
"Uşak","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2026,1659,367
"Uşak","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2042,1807,235
"Uşak","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",46,425,-379
"Uşak","Sağlık / bakım Health / care",75,88,-13
"Uşak","Ev alınması Buying a house",330,260,70
"Uşak","Emeklilik Retirement",75,46,29
"Uşak","Diğer Other",166,191,-25
"Uşak","Bilinmeyen Unknown",771,1349,-578
"Van","Tayin / iş değişikliği Assignation / change of job",3657,6986,-3329
"Van","İşe başlamak / iş bulmak Starting / finding a job",2077,4310,-2233
"Van","Eğitim Education",4932,7140,-2208
"Van","Daha iyi konut ve yaşam koşulları Better housing and living conditions",7023,9007,-1984
"Van","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",7270,18465,-11195
"Van","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1587,791,796
"Van","Sağlık / bakım Health / care",60,144,-84
"Van","Ev alınması Buying a house",643,1391,-748
"Van","Emeklilik Retirement",60,129,-69
"Van","Diğer Other",364,1276,-912
"Van","Bilinmeyen Unknown",2260,1610,650
"Yozgat","Tayin / iş değişikliği Assignation / change of job",1572,2852,-1280
"Yozgat","İşe başlamak / iş bulmak Starting / finding a job",1436,2303,-867
"Yozgat","Eğitim Education",3746,3847,-101
"Yozgat","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2039,4860,-2821
"Yozgat","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3464,5469,-2005
"Yozgat","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",804,623,181
"Yozgat","Sağlık / bakım Health / care",124,204,-80
"Yozgat","Ev alınması Buying a house",364,1687,-1323
"Yozgat","Emeklilik Retirement",134,131,3
"Yozgat","Diğer Other",643,283,360
"Yozgat","Bilinmeyen Unknown",1013,1176,-163
"Zonguldak","Tayin / iş değişikliği Assignation / change of job",1611,2020,-409
"Zonguldak","İşe başlamak / iş bulmak Starting / finding a job",1094,2557,-1463
"Zonguldak","Eğitim Education",5033,4722,311
"Zonguldak","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2870,3705,-835
"Zonguldak","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3638,3668,-30
"Zonguldak","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",695,583,112
"Zonguldak","Sağlık / bakım Health / care",133,162,-29
"Zonguldak","Ev alınması Buying a house",331,545,-214
"Zonguldak","Emeklilik Retirement",99,116,-17
"Zonguldak","Diğer Other",302,323,-21
"Zonguldak","Bilinmeyen Unknown",1326,1940,-614
"Aksaray","Tayin / iş değişikliği Assignation / change of job",1477,1499,-22
"Aksaray","İşe başlamak / iş bulmak Starting / finding a job",1315,1297,18
"Aksaray","Eğitim Education",3068,3259,-191
"Aksaray","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2068,2432,-364
"Aksaray","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3331,2772,559
"Aksaray","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",243,930,-687
"Aksaray","Sağlık / bakım Health / care",79,75,4
"Aksaray","Ev alınması Buying a house",365,643,-278
"Aksaray","Emeklilik Retirement",74,66,8
"Aksaray","Diğer Other",196,277,-81
"Aksaray","Bilinmeyen Unknown",912,920,-8
"Bayburt","Tayin / iş değişikliği Assignation / change of job",603,1241,-638
"Bayburt","İşe başlamak / iş bulmak Starting / finding a job",419,788,-369
"Bayburt","Eğitim Education",2073,1561,512
"Bayburt","Daha iyi konut ve yaşam koşulları Better housing and living conditions",630,1662,-1032
"Bayburt","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1132,1748,-616
"Bayburt","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",38,168,-130
"Bayburt","Sağlık / bakım Health / care",26,27,-1
"Bayburt","Ev alınması Buying a house",117,300,-183
"Bayburt","Emeklilik Retirement",24,39,-15
"Bayburt","Diğer Other",243,82,161
"Bayburt","Bilinmeyen Unknown",212,712,-500
"Karaman","Tayin / iş değişikliği Assignation / change of job",888,1322,-434
"Karaman","İşe başlamak / iş bulmak Starting / finding a job",763,1386,-623
"Karaman","Eğitim Education",3485,3009,476
"Karaman","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1503,1361,142
"Karaman","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1905,1999,-94
"Karaman","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",218,627,-409
"Karaman","Sağlık / bakım Health / care",47,70,-23
"Karaman","Ev alınması Buying a house",204,274,-70
"Karaman","Emeklilik Retirement",41,57,-16
"Karaman","Diğer Other",221,120,101
"Karaman","Bilinmeyen Unknown",617,928,-311
"Kırıkkale","Tayin / iş değişikliği Assignation / change of job",1269,1658,-389
"Kırıkkale","İşe başlamak / iş bulmak Starting / finding a job",1117,1793,-676
"Kırıkkale","Eğitim Education",3764,2541,1223
"Kırıkkale","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2732,3428,-696
"Kırıkkale","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2152,3174,-1022
"Kırıkkale","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",283,731,-448
"Kırıkkale","Sağlık / bakım Health / care",181,130,51
"Kırıkkale","Ev alınması Buying a house",501,1074,-573
"Kırıkkale","Emeklilik Retirement",109,87,22
"Kırıkkale","Diğer Other",218,220,-2
"Kırıkkale","Bilinmeyen Unknown",696,1291,-595
"Batman","Tayin / iş değişikliği Assignation / change of job",2131,2475,-344
"Batman","İşe başlamak / iş bulmak Starting / finding a job",1333,1888,-555
"Batman","Eğitim Education",2715,4394,-1679
"Batman","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3169,4088,-919
"Batman","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",7629,5890,1739
"Batman","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",373,832,-459
"Batman","Sağlık / bakım Health / care",60,77,-17
"Batman","Ev alınması Buying a house",872,540,332
"Batman","Emeklilik Retirement",42,64,-22
"Batman","Diğer Other",344,406,-62
"Batman","Bilinmeyen Unknown",1412,806,606
"Şırnak","Tayin / iş değişikliği Assignation / change of job",3114,6917,-3803
"Şırnak","İşe başlamak / iş bulmak Starting / finding a job",799,1465,-666
"Şırnak","Eğitim Education",1628,2977,-1349
"Şırnak","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1894,2532,-638
"Şırnak","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5572,6225,-653
"Şırnak","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",117,531,-414
"Şırnak","Sağlık / bakım Health / care",22,57,-35
"Şırnak","Ev alınması Buying a house",139,517,-378
"Şırnak","Emeklilik Retirement",15,53,-38
"Şırnak","Diğer Other",191,292,-101
"Şırnak","Bilinmeyen Unknown",933,462,471
"Bartın","Tayin / iş değişikliği Assignation / change of job",742,948,-206
"Bartın","İşe başlamak / iş bulmak Starting / finding a job",486,1181,-695
"Bartın","Eğitim Education",2777,2150,627
"Bartın","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1081,1630,-549
"Bartın","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1705,1750,-45
"Bartın","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1163,276,887
"Bartın","Sağlık / bakım Health / care",72,51,21
"Bartın","Ev alınması Buying a house",255,281,-26
"Bartın","Emeklilik Retirement",104,52,52
"Bartın","Diğer Other",213,181,32
"Bartın","Bilinmeyen Unknown",451,638,-187
"Ardahan","Tayin / iş değişikliği Assignation / change of job",562,975,-413
"Ardahan","İşe başlamak / iş bulmak Starting / finding a job",257,611,-354
"Ardahan","Eğitim Education",1276,1113,163
"Ardahan","Daha iyi konut ve yaşam koşulları Better housing and living conditions",739,1178,-439
"Ardahan","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",969,1469,-500
"Ardahan","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",182,104,78
"Ardahan","Sağlık / bakım Health / care",27,40,-13
"Ardahan","Ev alınması Buying a house",40,200,-160
"Ardahan","Emeklilik Retirement",23,31,-8
"Ardahan","Diğer Other",62,112,-50
"Ardahan","Bilinmeyen Unknown",231,344,-113
"Iğdır","Tayin / iş değişikliği Assignation / change of job",785,2118,-1333
"Iğdır","İşe başlamak / iş bulmak Starting / finding a job",372,1093,-721
"Iğdır","Eğitim Education",2360,2152,208
"Iğdır","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1257,1612,-355
"Iğdır","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2018,2781,-763
"Iğdır","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",106,189,-83
"Iğdır","Sağlık / bakım Health / care",34,47,-13
"Iğdır","Ev alınması Buying a house",157,238,-81
